"LOCATION";"AREA";"DEPT";"COMMENTS";"QRIUS_MSST_FLG"
GMQLD Quality Lab function;Manufacturing & Quality;L&D;Central10, Central10_Training;0
Fegersheim site;Manufacturing & Quality;Technical Services / Manufacturing Science;FEG_TSMS;1
GMQLD Manufacturing function;Manufacturing & Quality;L&D;Central10, Central10_Training;0
Kobe, Japan affiliate;IDS;Global Info Services;CENTRAL Japan IT;0
IDAP site;Manufacturing & Quality;Quality;DRY_QUALITY;0
Suzhou site;Manufacturing & Quality;Engineering;SUZ_Specification;1
;Global Quality;CIQ;CENTRAL29;0
GMQLD Function;Manufacturing & Quality;L&D;Central10, Central10_Training;0
Suzhou site;Manufacturing & Quality;Technical Services / Manufacturing Science;SUZ_Procedure;0
Fegersheim site;Human Resources;L&D;FEG_Training;0
IDAP site;Manufacturing & Quality;Laboratory;DRY_Procedures;0
GMQLD Operational Excellence function;Manufacturing & Quality;L&D;Central10, Central10_Training;0
Indy Dry site;Manufacturing & Quality;Technical Services / Manufacturing Science;DRY_Procedures;0
IDAP site;IDS;MQ IDS;DRY_MI_and_CS;0
Global TSMS function;Manufacturing & Quality;Technical Services / Manufacturing Science;CENTRAL19;1
Fegersheim site;Manufacturing & Quality;Technical Services / Manufacturing Science;FEG_Quality;0
IDM Site;IDS;Technical Services / Manufacturing Science;Central08;0
Suzhou site;Manufacturing & Quality;Laboratory;SUZ_Method_Compendia;0
IDAP site;Manufacturing & Quality;Operations;DRY_Training;0
IDAP site;Manufacturing & Quality;Quality;DRY_Procedures;0
IPM site;Manufacturing & Quality;Technical Services / Manufacturing Science;PAR_MST;1
IDAP site;IDS;MQ IDS;DRY_Procedures;0
Global Regulatory Function;Manufacturing & Quality;;Central16;0
Indy Dry site;Manufacturing & Quality;L&D;DRY_Procedures;0
IDM Site;IDS;Supply Chain;Central08;0
IDAP site;Manufacturing & Quality;Manufacturing;DRY_Procedures;0
Fegersheim site;Manufacturing & Quality;Engineering;FEG_Validation;1
IDAP site;Manufacturing & Quality;Engineering;DRY_Engineering_FUME;0
IDM Site;IDS;MQ IDS;Central08;0
GMQLD HSE function;Manufacturing & Quality;L&D;Central10, Central10_Training;0
Suzhou site;Manufacturing & Quality;Operations;SUZ_Training;0
IDAP site;Manufacturing & Quality;Engineering;DRY_Technical_Documents;1
IDAP site;Manufacturing & Quality;L&D;DRY_Procedures;0
NALO site;Manufacturing & Quality;Quality;Central11;0
IDM Site;Manufacturing & Quality;Quality;Central08;0
Indy Dry site;Manufacturing & Quality;Laboratory;DRY_QCL;0
GMQLD TSMS function;Manufacturing & Quality;L&D;Central10, Central10_Training;0
Argentina affiliate;Manufacturing & Quality;Laboratory;CENTRAL22_Method_Compendia;0
Suzhou site;Manufacturing & Quality;Technical Services / Manufacturing Science;SUZ_Filling;0
NALO site;Manufacturing & Quality;Quality;CENTRAL11_Training;0
Suzhou site;Manufacturing & Quality;Technical Services / Manufacturing Science;SUZ_Training;0
Indy Dry site;IDS;MQ IDS;DRY_Procedures;0
;LRL-Discovery Research;Health, Safety, & Environmental;CENTRAL15;0
IDAP site;Manufacturing & Quality;Operations;DRY_MPP;0
Suzhou site;Manufacturing & Quality;Quality;SUZ_Specification;1
Indy Dry site;Manufacturing & Quality;Laboratory;DRY_Training;0
Fegersheim site;Manufacturing & Quality;Laboratory;FEG_Method_NonCompendia;0
Korea, Republic Of;Manufacturing & Quality;Laboratory;CENTRAL23_Method_Compendia;0
Global;Manufacturing & Quality;Technical Services / Manufacturing Science;CENTRAL19;1
Indy Dry site;Manufacturing & Quality;Automation;DRY_Engineering_FUME;0
Dry network;Manufacturing & Quality;Technical Services / Manufacturing Science;CENTRAL19;1
Fegersheim site;Manufacturing & Quality;Laboratory;FEG_Method_Compendia;0
Canada;Global Quality;GQL;Central14_Method_NonCompendia;1
Brazil site;IDS;;BR_MFG_Treinamento_e_Precedimentos, BR_MFG_MST;0
Suzhou site;Manufacturing & Quality;Quality;SUZ_Method_Compendia;0
