Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: aspp9313at09.csv,,,,,,,,,,,,,,,,,,,,
"Appendix table 9. Number of sentenced state prisoners, by age at yearend and most serious offense, December 31, 1993, 2003, and 2013",,,,,,,,,,,,,,,,,,,,
"Report title: Aging of the State Prison Population, 1993-2013 NCJ 248766",,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics program, 1993, 2003, and 2013; Survey of Inmates in State Correctional Facilities, 1991; and National Corrections Reporting Program, 2003 and 2013",,,,,,,,,,,,,,,,,,,,
"Author(s): E. Ann Carson, William J. Sabol",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,
Date of version: 05/04/2016,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Appendix table 9. Number of sentenced state prisoners, by age at yearend and most serious offense, December 31, 1993, 2003, and 2013",,,,,,,,,,,,,,,,,,,,
 ,,Total/a,,,,18–29,,,,30–39 ,,,,40–54 ,,,,55 or older,,
Most serious offense,,1993,2003,2013,,1993,2003,2013,,1993,2003,2013,,1993,2003,2013,,1993,2003,2013
,Total/a,"857,675","1,256,442","1,325,305",,"400,700","436,800","390,600",,"298,300","399,100","397,900",,"126,300","359,700","404,100",,"26,300","58,300","131,500"
Violent offenses,,"393,500","603,000","705,000",,"167,800","208,800","201,700",,"136,700","181,200","199,400",,"68,400","172,400","217,400",,"17,100","39,700","87,000"
,Murder/b,"86,200","140,100","165,500",,"27,700","40,700","30,900",,"32,000","43,400","52,300",,"20,300","43,500","56,100",,"5,700","13,200","27,000"
,Manslaughter,"16,500","14,200","18,000",,"7,500","5,200","5,400",,"5,200","4,300","5,700",,"3,000","3,900","5,000",,800,900,"1,800"
,Rape/sexual assault,"82,300","140,300","166,300",,"24,300","29,600","27,400",,"29,200","40,800","38,000",,"21,500","54,300","67,000",,"7,300","17,300","35,600"
,Robbery,"124,000","158,000","181,300",,"69,000","73,700","80,600",,"41,800","45,800","48,900",,"10,500","33,100","41,000",,900,"3,100","9,200"
,Assault,"70,200","117,500","132,600",,"33,000","48,400","45,900",,"23,400","36,000","41,400",,"10,900","28,300","35,600",,"2,100","3,800","9,100"
,Other,"14,300","32,900","41,300",,"6,400","11,200","11,400",,"5,100","11,000","13,000",,"2,200","9,200","12,700",,400,"1,500","4,200"
Property offenses,,"213,400","263,000","255,600",,"114,600","94,000","90,800",,"73,400","86,800","72,200",,"20,700","75,100","75,400",,"2,900","6,300","16,200"
,Burglary,"106,300","125,600","139,600",,"58,700","48,100","57,200",,"37,700","39,600","36,200",,"8,100","34,900","37,500",,700,"2,300","7,900"
,Larceny,"41,800","51,700","50,000",,"20,300","15,200","13,700",,"13,900","17,300","14,600",,"6,500","17,400","17,600",,800,"1,900","4,200"
,Motor vehicle theft,"18,800","19,400","10,800",,"13,300","9,000","3,800",,"4,400","6,400","3,500",,800,"3,500","3,000",,200,200,400
,Fraud,"25,100","35,600","27,300",,"11,500","9,900","6,300",,"9,400","13,500","9,300",,"3,400","11,100","9,500",,900,"1,200","2,100"
,Other,"21,300","30,600","28,000",,"10,800","11,700","9,800",,"7,900","9,900","8,600",,"2,000","8,100","7,800",,500,700,"1,600"
Drug offenses/c,,"189,200","270,000","207,800",,"91,200","94,700","53,700",,"67,200","91,200","78,500",,"26,100","76,200","61,400",,"4,100","7,500","13,600"
Public order offenses/d,,"58,200","109,000","146,300",,"25,500","34,800","40,800",,"20,000","36,600","44,400",,"10,600","33,300","47,100",,"2,000","4,200","13,900"
Other/unspecified offenses/e,,"3,300","11,400","10,600",,"1,600","4,600","3,500",,"1,000","3,300","3,300",,500,"2,800","2,800",,200,600,800
Note: Based on sentenced prisoners under the jurisdiction of state correctional authorities. Detail may not sum to total due to rounding. See appendix table 11 for standard errors of the 1993 estimates.,,,,,,,,,,,,,,,,,,,,
a/Includes prisoners age 17 or younger.,,,,,,,,,,,,,,,,,,,,
b/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,
"c/Includes possession, trafficking, and other drug offenses.",,,,,,,,,,,,,,,,,,,,
"d/Includes weapon offenses; driving under the influence; court offenses; commercialized vice, morals, and decency offenses; liquor law violations; and other public order offenses.",,,,,,,,,,,,,,,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics program, 1993, 2003, and 2013; Survey of Inmates in State Correctional Facilities, 1991; and National Corrections Reporting Program, 2003 and 2013.",,,,,,,,,,,,,,,,,,,,
